knee_angle_left,knee_angle_right,knee_angle_avg,hip_angle_left,hip_angle_right,ankle_angle_left,ankle_angle_right,back_angle,hip_hinge_angle,frontal_weight,foot_asymmetry,knee_cave_pct_left,knee_cave_pct_right,knee_over_toe_left,knee_over_toe_right,shoulder_width,hip_width,elbow_width,elbow_flare_pct,elbow_flare_angle_lateral,arm_angle_left,arm_angle_right,wrist_dev_left,wrist_dev_right,exercise_type
158.1,167.47,162.785,140.44,148.77,134.16,111.15,46.37,142.47,0.486,0.048801285877224876,-3.4478612453019144,1.5433501477502332,0.0005349823559823164,0.09900946179416303,0.09462932487329279,0.15394965438886182,0.11181137271986519,18.157212755748706,13.114022159480445,129.49,58.19,0.07700308969508673,0.09299272154141647,SQUAT
75.61,76.7,76.155,24.07,36.04,167.94,118.3,48.09,30.05,0.878,0.008941632238525399,0.5975172981966204,0.14675844977202201,0.01934411652521001,0.04963224426047963,0.11477197290418167,0.1952692296823952,0.13605118670074018,18.5404269510324,8.99934058440962,151.05,90.76,0.069080486354617,0.11974193207926653,SQUAT
55.18,55.5,55.34,14.86,64.4,73.21,85.96,42.03,39.63,0.787,0.015176828129534803,11.129784304571293,1.7845801601395705,-0.010356306349655009,0.06772648791328384,0.09717436353015818,0.4427873472341647,0.16700731373995736,71.86355297107394,17.257756759638827,51.33,89.3,0.15096179324482106,0.14733844526862871,SQUAT
171.66,176.45,174.055,161.6,176.11,48.66,115.36,4.72,168.86,0.908,0.004982740820561826,1.2883652282276226,1.513762165569832,0.01587222539271166,0.09414918024654662,0.13727908267316247,0.2197116021290803,0.1495632829690242,8.948340895537802,12.31584754464121,88.46,81.32,0.1207821666009804,0.08653457937856301,SQUAT
149.69,149.68,149.685,104.58,178.64,175.6,151.36,59.15,104.58,0.218,0.006511523866093327,4.2339705451464535,0.7589299098890501,0.04952769997369211,0.0460554647174265,0.04536229614005216,0.24031218883371364,0.10706133577757992,136.01392541294058,14.92866768166679,120.78,72.86,0.0747554389718269,0.13262904000473819,SQUAT
170.72,167.92,169.32,150.15,169.29,135.21,79.86,10.51,159.72,0.979,0.06344573501247541,0.9747442451458921,1.1717183262485165,0.07780806958584607,-0.07286661071171674,0.14759847654006292,0.27408261141141027,0.13028013215565265,-11.733416760375246,16.802968969356343,72.99,58.3,0.08758001490272943,0.07885629517142678,SQUAT
67.79,65.55,66.67,22.88,37.57,73.55,171.43,47.79,27.44,0.621,0.02920419561082699,2.5978855393838094,-2.8082290616231576,0.0013469503739719224,-0.050645096486798935,0.09905708935313706,0.14689523486250605,0.08159443324626997,-17.628880699909303,30.91526422672702,105.82,112.52,0.1265019925457173,0.12134592677854034,SQUAT
172.45,178.95,175.7,151.78,178.65,101.76,164.41,13.51,158.73,0.517,0.011606128524126014,-1.3891573780496047,-1.0360834736008018,0.07228293564345528,-0.003178867239793548,0.10152800162238146,0.1842269476633016,0.09422861351393302,-7.1895319437069585,5.549544505252004,106.26,94.5,0.0954018874008083,0.10220117508183368,SQUAT
131.36,132.48,131.92000000000002,98.41,159.83,136.18,74.31,20.2,129.12,0.933,0.012235700688199791,0.619205773067738,10.442372530623134,0.04060204798809214,0.0023099385760927404,0.1439923330948059,0.3482163477249621,0.1503036632136226,4.38310150489835,11.85652969128567,141.15,108.1,0.08286042707310437,0.11742812506369427,SQUAT
149.29,142.58,145.935,135.94,135.17,153.08,138.2,71.56,135.94,0.333,0.016291779811441587,-1.1244729952759935,2.838731662407612,0.011500963141340914,0.08496829633689185,0.044176136004017263,0.11104418347342893,0.11435072105610355,158.85179510879993,14.737153259006888,141.82,167.41,0.06872317300294961,0.057971865740574335,SQUAT
101.02,102.35,101.685,89.05,77.62,91.35,70.51,34.94,83.34,0.917,0.02016278989185838,5.3792027241247204,-2.092503347852015,-0.03896251012272883,-0.037210379329634,0.1881953985641207,0.16145617849133198,0.14637222845745484,-22.223269232810782,8.845257477910796,82.91,151.39,0.09428651003524674,0.03614734991151658,SQUAT
163.98,169.86,166.92000000000002,116.77,102.37,60.1,84.83,70.91,109.57,0.919,0.009315702613454602,-3.280252853313109,-1.1134775194407864,-0.0455585592813581,0.051285996328433,0.1896238157468958,0.19022575105303874,0.12781812895996247,-32.5938419409457,2.9835801016863432,104.17,122.83,0.11256061575867116,0.0763249254421895,SQUAT
