knee_angle_left,knee_angle_right,knee_angle_avg,hip_angle_left,hip_angle_right,ankle_angle_left,ankle_angle_right,back_angle,hip_hinge_angle,frontal_weight,foot_asymmetry,knee_cave_pct_left,knee_cave_pct_right,knee_over_toe_left,knee_over_toe_right,shoulder_width,hip_width,elbow_width,elbow_flare_pct,elbow_flare_angle_lateral,arm_angle_left,arm_angle_right,wrist_dev_left,wrist_dev_right,phase_code,BACK_ROUNDED,HIPS_TOO_HIGH,score
135.36,148.78,142.07,149.79,130.82,134.67,137.37,11.64,149.79,0.197,0.02698162962477757,-0.9757036753664183,-3.044378773148204,0.0014554041812522844,-0.0035246390594683152,0.06101749003558077,0.1499731089147427,0.11154791115067919,82.81301162278703,7.2767896290039324,143.78,150.91,0.02899731194302413,0.036176068131441586,2,NONE,NONE,100.0
172.95,159.05,166.0,175.53,152.87,139.62,178.92,6.04,175.53,0.1,0.003382572571766884,1.5040898757990362,-2.0992459052275425,-0.00286411378694168,-0.0247278157419345,0.004423874732165212,0.02238343984773772,0.004757365797611435,7.538438261406194,9.612823336706708,177.26,142.68,0.012177921337277131,0.04870164573094049,1,NONE,NONE,100.0
124.41,124.43,124.42,115.72,96.39,153.73,134.8,15.82,115.72,0.15,0.004675503267692838,-2.5408042548902166,-2.2530520593677714,-0.011203074278296754,-0.0029082803259362633,0.01618241221782024,0.2614259302940674,0.006996586293215423,-56.76425616255957,13.55689094501536,160.75,140.88,0.04204042979182393,0.07236383800579405,2,NONE,NONE,100.0
138.67,138.87,138.76999999999998,170.91,153.24,168.49,153.83,22.14,162.07,0.922,0.010001440167434206,-1.8485165877623833,-0.4446692344361569,-0.03445769944473226,0.011497429553335214,0.1659147740754512,0.24002606606874877,0.1269855427941624,-23.463390465508134,25.861236432565075,164.63,161.81,0.013618067505714704,0.046697162124020086,2,NONE,NONE,100.0
142.24,136.19,139.215,155.07,171.87,121.97,148.34,58.17,155.07,0.101,0.014457255864006036,-1.4415625791115494,1.327186609328579,0.02792729174161468,-0.005651532313088181,0.007692187374209292,0.060446848432350264,0.0049940224527498245,-35.076692625897216,11.130175169285744,162.14,148.24,0.023799089708335663,0.05724607860552955,2,HIGH,NONE,75.0
123.36,117.53,120.445,72.15,71.34,168.15,157.56,51.59,71.98,0.422,0.0027630857575916545,0.3513763199525677,-1.0926046592432126,-0.006107752310810122,0.0036424190580950366,0.09490013577732398,0.11162037139691236,0.09289388703254486,-2.1140630920556607,12.711029085889434,166.37,170.25,0.0325645063339452,0.03031706205103779,2,HIGH,NONE,75.0
93.04,88.14,90.59,88.14,94.44,156.25,156.74,10.23,88.14,0.1,0.009773753942648122,1.7656054599811455,-3.102788445288218,0.0013643361188119263,-0.018178957740553114,0.00427401930388388,0.025947953328508466,0.005852553957158002,36.93325979692413,11.273591699350202,177.86,167.41,0.00656252636467991,0.016502253042186443,2,NONE,NONE,100.0
175.66,171.15,173.405,156.33,174.91,110.47,132.74,16.12,165.62,0.975,0.024316559168483298,0.37913727784740225,-0.31528810834029475,-0.029806670355155607,-0.013947000436911883,0.14916673620458643,0.23183168186795344,0.12673891299622486,-15.035405197577806,10.028314040534111,168.37,158.08,0.029949399157906065,0.03786753579149715,1,NONE,LOW,95.0
104.77,119.09,111.93,65.5,84.08,162.21,130.21,34.83,74.79,0.933,0.03178020888284616,0.13945443445629313,2.8747266568101226,-0.00014265134981361616,0.003738488441599519,0.11670341512781779,0.2217874999552832,0.09819734322740048,-15.85735248634223,9.359438512659711,153.29,155.23,0.06138614629444428,0.04046582237417479,2,MEDIUM,NONE,85.0
168.09,175.61,171.85000000000002,159.0,169.34,165.47,165.87,5.31,164.17,0.874,0.008179907273914488,1.0983988735259076,-0.5938587801623263,-0.0003804363563799096,-0.013753771090000977,0.162833377249043,0.24455352749827336,0.15331942024137413,-5.842756054317971,13.464523251740426,164.82,165.75,0.05241744188396924,0.016577474953943683,1,NONE,LOW,95.0
111.43,93.13,102.28,135.04,106.51,170.69,179.11,29.44,135.04,0.1,0.019557392090436054,1.9625669489467312,-0.4436690723382597,0.018468833829360265,-0.004599138533110003,0.0023669204265585053,0.05082151183662931,0.016588438266188943,600.8447804182618,5.805469647140092,159.56,167.13,0.05946016103297824,0.021185344469036638,2,NONE,NONE,100.0
93.9,98.76,96.33000000000001,45.34,56.87,163.01,126.5,47.83,51.11,0.938,0.01170885773381758,0.44071311305591276,-1.277236552719696,0.01689927322786139,-0.0006744693638218724,0.1617322063663736,0.23760219583710268,0.15247098109951784,-5.726271516927308,9.142547338226846,149.54,141.26,0.05127883307742631,0.07669203365007993,2,HIGH,NONE,75.0
114.64,120.02,117.33,116.09,59.81,160.13,162.38,24.22,99.54,0.588,0.0013760786287130289,-0.7065880803487024,0.6287955354091213,-0.025881822304067492,-0.007249370514268216,0.0972885140662545,0.25889696404047946,0.11198633581650097,15.107458358585996,23.03788329881752,171.86,166.17,0.003094685466874525,0.030374596794627062,2,NONE,NONE,100.0
